EDX cell sector AFP compatibility matrix
   12   13.00    5.00    1.76    1.00
ABAA0001     3.07   727.64    21.34    5    8    0    0
    2    9   14   20   22   26   44  123
     ABAA0001   0.0
     ABAA0002  28.7
     ABAA0003  25.1
     ABAB0001   7.5
     ABAB0002  78.2
     ABAB0003   1.0
     ABAC0001   4.9
     ABAC0002  15.3
     ABAC0003   0.0
     ABAD0001   8.1
     ABAD0002  47.6
     ABAD0003  75.9
ABAA0002    17.22   636.20    18.66    4    5    0    0
   30   72   81   92  116
     ABAA0001  14.7
     ABAA0002   0.0
     ABAA0003  16.0
     ABAB0001   0.0
     ABAB0002  93.2
     ABAB0003   0.1
     ABAC0001   0.3
     ABAC0002  83.0
     ABAC0003   0.0
     ABAD0001   0.1
     ABAD0002  86.9
     ABAD0003  86.4
ABAA0003     7.05  1105.12    32.42    6    7    0    1
   38   48   54   62   65   98  105
     ABAA0001  17.7
     ABAA0002  38.4
     ABAA0003   0.0
     ABAB0001   0.0
     ABAB0002  62.4
     ABAB0003  42.0
     ABAC0001   5.7
     ABAC0002  71.6
     ABAC0003   5.2
     ABAD0001   0.0
     ABAD0002   9.6
     ABAD0003  81.0
ABAB0001     4.87   178.06     5.22    2    2    0    2
   41  118
     ABAA0001  39.0
     ABAA0002   0.0
     ABAA0003   2.7
     ABAB0001   0.0
     ABAB0002  16.2
     ABAB0003  38.0
     ABAC0001  19.3
     ABAC0002   2.9
     ABAC0003   0.0
     ABAD0001  30.0
     ABAD0002   0.0
     ABAD0003  38.8
ABAB0002     5.66   281.32     8.25    3    5    0    2
   57   89  102  113  120
     ABAA0001  23.5
     ABAA0002  54.2
     ABAA0003  16.8
     ABAB0001  20.5
     ABAB0002   0.0
     ABAB0003  17.7
     ABAC0001   4.6
     ABAC0002  65.0
     ABAC0003   0.0
     ABAD0001   0.5
     ABAD0002  62.2
     ABAD0003  67.1
ABAB0003     4.96   196.16     5.75    2    3    0    1
    6   86  122
     ABAA0001   8.3
     ABAA0002   0.0
     ABAA0003  23.2
     ABAB0001  36.3
     ABAB0002  16.7
     ABAB0003   0.0
     ABAC0001  39.3
     ABAC0002  34.3
     ABAC0003   8.9
     ABAD0001   5.8
     ABAD0002   0.4
     ABAD0003  39.5
ABAC0001     9.44    37.84     1.11    1    0    0    2

     ABAA0001   7.9
     ABAA0002   0.0
     ABAA0003  18.9
     ABAB0001  10.8
     ABAB0002   0.0
     ABAB0003  30.8
     ABAC0001   0.0
     ABAC0002  10.1
     ABAC0003  26.9
     ABAD0001   1.5
     ABAD0002   0.0
     ABAD0003   8.4
ABAC0002    17.52   435.75    12.78    3    0    0    0

     ABAA0001   2.3
     ABAA0002  25.6
     ABAA0003  45.8
     ABAB0001   0.1
     ABAB0002  44.2
     ABAB0003  46.6
     ABAC0001  15.5
     ABAC0002   0.0
     ABAC0003  21.2
     ABAD0001   0.0
     ABAD0002  23.9
     ABAD0003  57.3
ABAC0003    10.15   223.57     6.56    2    0    0    0

     ABAA0001   0.1
     ABAA0002   0.0
     ABAA0003   7.1
     ABAB0001   0.0
     ABAB0002   2.2
     ABAB0003  28.1
     ABAC0001  13.0
     ABAC0002  45.8
     ABAC0003   0.0
     ABAD0001   0.0
     ABAD0002   0.0
     ABAD0003  14.9
ABAD0001     1.21     1.12     0.03    1    0    0    2

     ABAA0001  20.7
     ABAA0002   0.0
     ABAA0003   0.0
     ABAB0001  31.4
     ABAB0002   9.9
     ABAB0003   0.8
     ABAC0001  10.7
     ABAC0002   3.3
     ABAC0003   0.0
     ABAD0001   0.0
     ABAD0002  24.0
     ABAD0003  19.8
ABAD0002    27.99   738.07    21.65    5    0    0    0

     ABAA0001  42.1
     ABAA0002  65.8
     ABAA0003   0.0
     ABAB0001   3.4
     ABAB0002  86.7
     ABAB0003   0.0
     ABAC0001   3.1
     ABAC0002  63.4
     ABAC0003   0.0
     ABAD0001  20.1
     ABAD0002   0.0
     ABAD0003  60.5
ABAD0003     6.49   553.98    16.25    4    0    0    0

     ABAA0001  34.8
     ABAA0002  25.9
     ABAA0003  43.8
     ABAB0001  12.5
     ABAB0002  71.2
     ABAB0003  26.2
     ABAC0001   3.1
     ABAC0002  46.7
     ABAC0003   4.9
     ABAD0001   7.1
     ABAD0002  68.4
     ABAD0003   0.0
